"cruise_number","event","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
1,"16",2015,56.1098,-53.1173,3369.873,1.88,14.3630910983554,14.3627283893208,1.84587157885771,0.00116474912966518,FALSE
2,"16",2015,56.1098,-53.1173,3292.068,1.75,15.5806355774168,14.1299309345,1.75000000146757,2.15377036959436e-18,TRUE
3,"16",2015,56.1098,-53.1173,3218.816,1.6,17.6195491775354,13.9197586940718,1.59999999863433,1.86506370486204e-18,TRUE
4,"16",2015,56.1098,-53.1173,3119.243,1.41,20.6470521869964,14.2919546796334,1.40999999933761,4.38755700482787e-19,TRUE
5,"16",2015,56.1098,-53.1173,3000.115,1.22,23.2361270577347,13.3542641478757,1.21999999564484,1.89674129139949e-17,TRUE
6,"16",2015,56.1098,-53.1173,2859.397,1.13,24.4900190229861,12.8604890482446,1.12999999916617,6.95275624819552e-19,TRUE
7,"16",2015,56.1098,-53.1173,2700.83,0.88,28.0091481385314,11.1883841105063,0.879999999564032,1.90068034615125e-19,TRUE
8,"16",2015,56.1098,-53.1173,2518.82,1.06,25.4726037337285,12.4413018181454,1.05999999936725,4.00368441902583e-19,TRUE
9,"16",2015,56.1098,-53.1173,2318.751,1.15,24.2103006781348,12.9742454585214,1.1499999989528,1.09662573342472e-18,TRUE
10,"16",2015,56.1098,-53.1173,2101.96,1.23,23.0976720185819,13.406506134253,1.22999999443413,3.09789457897103e-17,TRUE
11,"16",2015,56.1098,-53.1173,1879.664,1.24,22.9594162595287,13.4582959636189,1.23999999287029,5.08326940796001e-17,TRUE
12,"16",2015,56.1098,-53.1173,1620.354,2.13,16.0942548298205,16.0936176394682,1.7691592668407,0.130206034706942,FALSE
13,"16",2015,56.1098,-53.1173,1399.255,2.21,15.5959819640859,15.5942064722013,1.79054725415837,0.175940605994084,FALSE
14,"16",2015,56.1098,-53.1173,1180.636,2.47,15.33790665293,15.337328236617,1.80187866532764,0.446386117844371,FALSE
15,"16",2015,56.1098,-53.1173,961.763,2.59,15.8759395374109,15.8755391687094,1.77848816004801,0.658551466382266,FALSE
16,"16",2015,56.1098,-53.1173,762.25,2.42,15.2722696186563,15.2497610565984,1.80415745807391,0.37926203644599,FALSE
17,"16",2015,56.1098,-53.1173,581.088,2.37,14.6894752684102,14.6889352293699,1.83090226999699,0.290626362494394,FALSE
18,"16",2015,56.1098,-53.1173,430.408,2.46,15.288298835597,15.2873956734972,1.80405746000812,0.430260615771005,FALSE
19,"16",2015,56.1098,-53.1173,311.218,2.42,15.2722696186563,15.2497610565984,1.80415745807391,0.37926203644599,FALSE
20,"16",2015,56.1098,-53.1173,201.265,2.51,15.4973322733262,15.4933253761496,1.7947864040735,0.511530487798118,FALSE
21,"16",2015,56.1098,-53.1173,100.338,2.43,15.1683059871263,15.1677510390804,1.80938141694385,0.385167425634628,FALSE
22,"16",2015,56.1098,-53.1173,51.281,2.73,16.2194514512566,16.2191731126224,1.76386682009541,0.933413321312548,FALSE
23,"16",2015,56.1098,-53.1173,24.374,2.9,16.6146855890721,16.6133538660761,1.74730166583499,1.32871344958678,FALSE
24,"16",2015,56.1098,-53.1173,2.305,2.84,16.4802084864856,16.4799663033705,1.75292397996895,1.18173427332656,FALSE
25,"23",2015,56.5398,-52.6788,3542.453,1.83,14.5478856153233,14.2863288212129,1.83000000004128,1.7037159073436e-21,TRUE
26,"23",2015,56.5398,-52.6788,3432.243,1.71,16.1256106522595,14.0995896958617,1.70999999864646,1.83208120724028e-18,TRUE
27,"23",2015,56.5398,-52.6788,3380.117,1.68,16.5278012511615,14.0498537957885,1.67999999857643,2.02654312313936e-18,TRUE
28,"23",2015,56.5398,-52.6788,3278.844,1.21,23.3747745482404,13.3015500009338,1.20999999657746,1.17137863308776e-17,TRUE
29,"23",2015,56.5398,-52.6788,3159.14,1.18,23.7918011446606,13.1403758603354,1.17999999824621,3.07577703499259e-18,TRUE
30,"23",2015,56.5398,-52.6788,3028.405,1.09,25.0509073663273,12.6251475256099,1.08999999933178,4.46513712134602e-19,TRUE
31,"23",2015,56.5398,-52.6788,2858.502,1.18,23.7918011446606,13.1403758603354,1.17999999824621,3.07577703499259e-18,TRUE
32,"23",2015,56.5398,-52.6788,2659.981,0.99,26.4587456198495,11.9857437538557,0.990000026228763,6.87948034447864e-16,TRUE
33,"23",2015,56.5398,-52.6788,2439.369,1.04,25.7541106587346,12.3150360795584,1.03999999937767,3.87292927539869e-19,TRUE
34,"23",2015,56.5398,-52.6788,2208.863,0.94,27.1638405334449,11.6360675389829,0.940000002894364,8.37734279499024e-18,TRUE
35,"23",2015,56.5398,-52.6788,1969.774,1.01,26.1767809527002,12.1198482848101,1.01000005384772,2.89957688399309e-15,TRUE
36,"23",2015,56.5398,-52.6788,1720.764,2.1,16.0526502092351,16.0520550252902,1.77092953284175,0.108287372355752,FALSE
37,"23",2015,56.5398,-52.6788,1500.709,2.29,14.5469005004429,14.5466788608582,1.83741816039553,0.204830321539765,FALSE
38,"23",2015,56.5398,-52.6788,1277.623,2.2,15.5130160036958,15.5123603568673,1.79419536348092,0.164677403020382,FALSE
39,"23",2015,56.5398,-52.6788,1070.606,2.31,14.5966440583066,14.5960471334454,1.83513211733834,0.225499505983569,FALSE
40,"23",2015,56.5398,-52.6788,870.124,2.5,15.4508609677255,15.4503611218367,1.79691870112116,0.494323312833155,FALSE
41,"23",2015,56.5398,-52.6788,679.997,2.5,15.4508609677255,15.4503611218367,1.79691870112116,0.494323312833155,FALSE
42,"23",2015,56.5398,-52.6788,505.734,2.53,15.8663294421572,15.8660114710884,1.77890306951904,0.564146598977924,FALSE
43,"23",2015,56.5398,-52.6788,359.642,2.62,15.9505545539102,15.9498721132936,1.7752831966469,0.71354647786708,FALSE
44,"23",2015,56.5398,-52.6788,219.871,2.51,15.4973322733262,15.4933253761496,1.7947864040735,0.511530487798118,FALSE
45,"23",2015,56.5398,-52.6788,101.367,2.92,16.6727508144328,16.6561365101774,1.7444696515863,1.38187160004164,FALSE
46,"23",2015,56.5398,-52.6788,49.459,3.04,16.9131169243578,16.9128483624926,1.73504680234479,1.70290284807055,FALSE
47,"23",2015,56.5398,-52.6788,25.654,2.83,16.4567333945966,16.4560729071029,1.7538919943914,1.15800843973492,FALSE
48,"44",2015,57.3803,-51.7913,3580.961,1.82,14.6752582980026,14.265793887755,1.8200000003884,1.50851783832092e-19,TRUE
49,"44",2015,57.3803,-51.7913,3498.89,1.87,14.3345964171985,14.334493740141,1.84719697307399,0.000519978036988398,FALSE
50,"44",2015,57.3803,-51.7913,3409.75,1.8,14.9267105427588,14.2132751208642,1.79999996975525,9.1474501229793e-16,TRUE
51,"44",2015,57.3803,-51.7913,3300.247,1.26,22.6835290891836,13.5605992485125,1.25999998828204,1.37310579851054e-16,TRUE
52,"44",2015,57.3803,-51.7913,3180.436,1.2,23.5136075026585,13.2483437527812,1.19999999729176,7.33456311003603e-18,TRUE
53,"44",2015,57.3803,-51.7913,3039.733,1.03,25.8949539545919,12.2507561549467,1.02999999938126,3.82841871218841e-19,TRUE
54,"44",2015,57.3803,-51.7913,2879.885,1.03,25.8949539545919,12.2507561549467,1.02999999938126,3.82841871218841e-19,TRUE
55,"44",2015,57.3803,-51.7913,2692.093,1.13,24.4900190229861,12.8604890482446,1.12999999916617,6.95275624819552e-19,TRUE
56,"44",2015,57.3803,-51.7913,2479.908,1.08,25.1913874314081,12.5645887030742,1.07999999934784,4.25318882839634e-19,TRUE
57,"44",2015,57.3803,-51.7913,2250.829,1.06,25.4726037337285,12.4413018181454,1.05999999936725,4.00368441902583e-19,TRUE
58,"44",2015,57.3803,-51.7913,2009.808,1.35,21.4536985740001,14.0041266226638,1.34999999936561,4.02453329452255e-19,TRUE
59,"44",2015,57.3803,-51.7913,1770.593,1.82,14.6752582980026,14.265793887755,1.8200000003884,1.50851783832092e-19,TRUE
60,"44",2015,57.3803,-51.7913,1530.749,2.46,15.288298835597,15.2873956734972,1.80405746000812,0.430260615771005,FALSE
61,"44",2015,57.3803,-51.7913,1290.027,2.7,16.0168690864373,16.0164317653518,1.77245823148123,0.860333732346924,FALSE
62,"44",2015,57.3803,-51.7913,1071.314,2.54,15.6331558062199,15.6330200828092,1.78897759242185,0.564034656684486,FALSE
63,"44",2015,57.3803,-51.7913,870.833,2.56,15.7208176695565,15.7203700328791,1.78516999366062,0.600361538723881,FALSE
64,"44",2015,57.3803,-51.7913,679.661,2.5,15.4508609677255,15.4503611218367,1.79691870112116,0.494323312833155,FALSE
65,"44",2015,57.3803,-51.7913,511.806,2.58,15.8074129416177,15.8072744500782,1.78144174915734,0.637695279988885,FALSE
66,"44",2015,57.3803,-51.7913,362.491,2.49,15.3690488678137,15.3681406498218,1.80049856554048,0.475412228121735,FALSE
67,"44",2015,57.3803,-51.7913,222.052,2.68,15.9437540348448,15.9434340301757,1.77558429145733,0.81796777385874,FALSE
68,"44",2015,57.3803,-51.7913,100.95,2.66,15.8835683828149,15.8828457360549,1.77815170605916,0.777656413526374,FALSE
69,"44",2015,57.3803,-51.7913,51.377,3.12,17.0143064032555,17.0126530563754,1.73088112478977,1.92965124946534,FALSE
70,"44",2015,57.3803,-51.7913,26.181,3.06,16.9596689320452,16.9516499058479,1.73292882871688,1.76111789365075,FALSE
71,"44",2015,57.3803,-51.7913,2.398,3.03,16.8943365546506,16.8938252860696,1.73580807309092,1.67493274367663,FALSE
72,"55",2015,57.8008,-51.3437,3679.842,2,14.4987846189695,14.4970966308443,1.83958326137335,0.0257335300316119,FALSE
73,"55",2015,57.8008,-51.3437,3589.007,2.01,14.8207773979628,14.8203749278688,1.82495428295396,0.0342419173970839,FALSE
74,"55",2015,57.8008,-51.3437,3488.131,1.71,16.1256106522595,14.0995896958617,1.70999999864646,1.83208120724028e-18,TRUE
75,"55",2015,57.8008,-51.3437,3379.564,1.56,18.1728439439912,13.8481684143958,1.55999999872818,1.61753284592445e-18,TRUE
76,"55",2015,57.8008,-51.3437,3250.862,1.21,23.3747745482404,13.3015500009338,1.20999999657746,1.17137863308776e-17,TRUE
77,"55",2015,57.8008,-51.3437,3116.477,1.13,24.4900190229861,12.8604890482446,1.12999999916617,6.95275624819552e-19,TRUE
78,"55",2015,57.8008,-51.3437,2940.526,1.1,24.9105228674122,12.6850018869059,1.09999999930894,4.77566207344569e-19,TRUE
79,"55",2015,57.8008,-51.3437,2741.101,0.99,26.4587456198495,11.9857437538557,0.990000026228763,6.87948034447864e-16,TRUE
80,"55",2015,57.8008,-51.3437,2518.978,1.05,25.6133246945548,12.3785474672563,1.04999999937317,3.92909904524619e-19,TRUE
81,"55",2015,57.8008,-51.3437,2286.763,1.23,23.0976720185819,13.406506134253,1.22999999443413,3.09789457897103e-17,TRUE
82,"55",2015,57.8008,-51.3437,2004.14,1.2,23.5136075026585,13.2483437527812,1.19999999729176,7.33456311003603e-18,TRUE
83,"55",2015,57.8008,-51.3437,1720.78,2.02,14.7806780253022,14.7798014277225,1.82675451536952,0.0373438173300698,FALSE
84,"55",2015,57.8008,-51.3437,1500.86,2.31,14.5966440583066,14.5960471334454,1.83513211733834,0.225499505983569,FALSE
85,"55",2015,57.8008,-51.3437,1301.043,2.46,15.288298835597,15.2873956734972,1.80405746000812,0.430260615771005,FALSE
86,"55",2015,57.8008,-51.3437,1072.272,2.71,16.0422460249993,16.0404593534369,1.7713390108858,0.881084452484844,FALSE
87,"55",2015,57.8008,-51.3437,867.88,2.37,14.6894752684102,14.6889352293699,1.83090226999699,0.290626362494394,FALSE
88,"55",2015,57.8008,-51.3437,682.249,2.35,14.9231732281032,14.922245205382,1.82032467401446,0.280555950957887,FALSE
89,"55",2015,57.8008,-51.3437,510.838,2.57,15.7646630327083,15.7637590774514,1.78326312221812,0.618954914861976,FALSE
90,"55",2015,57.8008,-51.3437,362.278,2.68,15.9437540348448,15.9434340301757,1.77558429145733,0.81796777385874,FALSE
91,"55",2015,57.8008,-51.3437,220.115,2.84,16.4802084864856,16.4799663033705,1.75292397996895,1.18173427332656,FALSE
92,"55",2015,57.8008,-51.3437,100.677,2.82,16.3031178443768,16.3026469978029,1.76033531381696,1.1228892471434,FALSE
93,"55",2015,57.8008,-51.3437,50.459,2.95,16.7216977678597,16.7215047099694,1.74290889473222,1.45706893641658,FALSE
94,"55",2015,57.8008,-51.3437,26.774,3,16.8431879386628,16.8288156190758,1.73751501128005,1.59386834674322,FALSE
95,"55",2015,57.8008,-51.3437,2.589,2.87,16.3525759470605,16.3456514679552,1.75807633716353,1.23637423197567,FALSE
96,"69",2015,58.6388,-50.4173,3565.631,2.05,15.4553498124235,15.4551360549834,1.79673011150741,0.0641456364170468,FALSE
97,"69",2015,58.6388,-50.4173,3521.236,2.05,15.4553498124235,15.4551360549834,1.79673011150741,0.0641456364170468,FALSE
98,"69",2015,58.6388,-50.4173,3429.349,2.03,14.9697309867773,14.9639590184109,1.8180977103676,0.044902580351452,FALSE
99,"69",2015,58.6388,-50.4173,3319.72,1.66,16.7979902673248,14.0167668253604,1.65999999854613,2.1137428901257e-18,TRUE
100,"69",2015,58.6388,-50.4173,3200.893,1.5,19.0126484943428,13.7336559676202,1.49999999894732,1.10813927020375e-18,TRUE
101,"69",2015,58.6388,-50.4173,3059.83,1.21,23.3747745482404,13.3015500009338,1.20999999657746,1.17137863308776e-17,TRUE
102,"69",2015,58.6388,-50.4173,2900.593,1.16,24.0706495596636,13.0302046350135,1.15999999878364,1.47951952667267e-18,TRUE
103,"69",2015,58.6388,-50.4173,2710.964,0.98,26.5997595159019,11.9174709418022,0.980000017839983,3.18264979250253e-16,TRUE
104,"69",2015,58.6388,-50.4173,2500.621,1.09,25.0509073663273,12.6251475256099,1.08999999933178,4.46513712134602e-19,TRUE
105,"69",2015,58.6388,-50.4173,2270.486,0.9,27.7275746432115,11.3410738098402,0.89999999988538,1.31376889535983e-20,TRUE
106,"69",2015,58.6388,-50.4173,2020.082,0.99,26.4587456198495,11.9857437538557,0.990000026228763,6.87948034447864e-16,TRUE
107,"69",2015,58.6388,-50.4173,1768.243,0.9,27.7275746432115,11.3410738098402,0.89999999988538,1.31376889535983e-20,TRUE
108,"69",2015,58.6388,-50.4173,1530.856,1.03,25.8949539545919,12.2507561549467,1.02999999938126,3.82841871218841e-19,TRUE
109,"69",2015,58.6388,-50.4173,1291.534,1.24,22.9594162595287,13.4582959636189,1.23999999287029,5.08326940796001e-17,TRUE
110,"69",2015,58.6388,-50.4173,1072.097,2.08,15.5520061176601,15.5519179397609,1.79250987889226,0.0826505697345433,FALSE
111,"69",2015,58.6388,-50.4173,873.531,2.28,14.5271581334566,14.5178370386271,1.83806656381882,0.195305162014908,FALSE
112,"69",2015,58.6388,-50.4173,683.293,2.18,15.4056926347004,15.4055199792183,1.79890892478347,0.145230407609689,FALSE
113,"69",2015,58.6388,-50.4173,511.599,2.14,16.223027850664,16.2221365857368,1.76369860063237,0.141602743166036,FALSE
114,"69",2015,58.6388,-50.4173,360.296,2.04,15.1142471772465,15.1134010672952,1.81177753617248,0.0520854929955057,FALSE
115,"69",2015,58.6388,-50.4173,222.252,2.58,15.8074129416177,15.8072744500782,1.78144174915734,0.637695279988885,FALSE
116,"69",2015,58.6388,-50.4173,101.626,2.87,16.3525759470605,16.3456514679552,1.75807633716353,1.23637423197567,FALSE
117,"69",2015,58.6388,-50.4173,49.733,2.82,16.3031178443768,16.3026469978029,1.76033531381696,1.1228892471434,FALSE
118,"69",2015,58.6388,-50.4173,26.119,2.93,16.696980879374,16.6747333083563,1.74331068414008,1.40823153237608,FALSE
119,"69",2015,58.6388,-50.4173,3.181,2.88,16.6346889320421,16.6339435101399,1.74648933486267,1.28484642798007,FALSE
120,"82",2015,59.0702,-49.9495,3512.153,1.85,14.3050026565908,14.3048582194751,1.84856670567395,2.05433262508138e-06,FALSE
121,"82",2015,59.0702,-49.9495,3452.075,1.58,17.8956008169048,13.8845743849836,1.57999999867555,1.75416984553997e-18,TRUE
122,"82",2015,59.0702,-49.9495,3370.142,1.6,17.6195491775354,13.9197586940718,1.59999999863433,1.86506370486204e-18,TRUE
123,"82",2015,59.0702,-49.9495,3267.467,1.43,20.3811952497775,14.3882814656732,1.42999999930758,4.79449929255852e-19,TRUE
124,"82",2015,59.0702,-49.9495,3149.424,1.46,19.9855858787045,14.5340917376522,1.45999999920279,6.35538240342026e-19,TRUE
125,"82",2015,59.0702,-49.9495,3020.32,1.24,22.9594162595287,13.4582959636189,1.23999999287029,5.08326940796001e-17,TRUE
126,"82",2015,59.0702,-49.9495,2860.584,1.08,25.1913874314081,12.5645887030742,1.07999999934784,4.25318882839634e-19,TRUE
127,"82",2015,59.0702,-49.9495,2661.551,1.2,23.5136075026585,13.2483437527812,1.19999999729176,7.33456311003603e-18,TRUE
128,"82",2015,59.0702,-49.9495,2438.583,1.11,24.7702415606604,12.7441665555616,1.10999999927648,5.23486523347275e-19,TRUE
129,"82",2015,59.0702,-49.9495,2208.408,1.02,26.0358468840168,12.185696839304,1.01999999938428,3.79108011487975e-19,TRUE
130,"82",2015,59.0702,-49.9495,1971.562,1.17,23.9311472145158,13.0855752210296,1.16999999855436,2.08986360440746e-18,TRUE
131,"82",2015,59.0702,-49.9495,1701.024,2.06,15.3740242402072,15.3712142078681,1.80022624209241,0.0674824052974295,FALSE
132,"82",2015,59.0702,-49.9495,1500.898,2.27,14.2685328261162,14.2683413920869,1.85025762573762,0.176183660751424,FALSE
133,"82",2015,59.0702,-49.9495,1280.012,2.38,15.1250988478869,15.1249977960039,1.8113153588995,0.323402221023604,FALSE
134,"82",2015,59.0702,-49.9495,1070.112,2.41,15.0757407681211,15.075341881079,1.81350661657234,0.355804356472979,FALSE
135,"82",2015,59.0702,-49.9495,872.237,2.19,15.3921243190232,15.3921031709691,1.79950912261223,0.152483125323068,FALSE
136,"82",2015,59.0702,-49.9495,679.873,2.33,14.6507086584614,14.6505559419764,1.83267786957417,0.247329301411284,FALSE
137,"82",2015,59.0702,-49.9495,509.808,2.25,15.9257631819564,15.9255685756203,1.77635787954274,0.224336858271248,FALSE
138,"82",2015,59.0702,-49.9495,360.536,2.33,14.6507086584614,14.6505559419764,1.83267786957417,0.247329301411284,FALSE
139,"82",2015,59.0702,-49.9495,222.556,2.63,15.7766256201397,15.7764912036083,1.78276868324401,0.717800904092082,FALSE
140,"82",2015,59.0702,-49.9495,102.867,2.81,16.198929474391,16.1983750068725,1.76472609345203,1.09259753971005,FALSE
141,"82",2015,59.0702,-49.9495,51.205,2.83,16.4567333945966,16.4560729071029,1.7538919943914,1.15800843973492,FALSE
142,"82",2015,59.0702,-49.9495,23.752,3.26,17.1948959951838,17.1941072347181,1.72358784385383,2.36056231355373,FALSE
143,"82",2015,59.0702,-49.9495,2.782,2.99,16.8096698416533,16.8089869107642,1.73927422014298,1.56431497639895,FALSE
144,"91",2015,59.4803,-49.4743,3444.913,1.89,14.5464747480949,14.5462402140719,1.83743729730781,0.00276283771430807,FALSE
145,"91",2015,59.4803,-49.4743,3380.459,2.02,14.7806780253022,14.7798014277225,1.82675451536952,0.0373438173300698,FALSE
146,"91",2015,59.4803,-49.4743,3300.317,1.86,14.3292651806012,14.3286335842722,1.84742889374078,0.000158032712580555,FALSE
147,"91",2015,59.4803,-49.4743,3200.534,1.64,17.0697636087199,13.983511999144,1.63999999853348,2.15069333296525e-18,TRUE
148,"91",2015,59.4803,-49.4743,3081.157,1.54,18.4519071832094,13.8119621056868,1.53999999880682,1.4236869886723e-18,TRUE
149,"91",2015,59.4803,-49.4743,2946.144,1.25,22.8213664442148,13.509653656085,1.24999999085911,8.35557896253709e-17,TRUE
150,"91",2015,59.4803,-49.4743,2789.532,1.29,22.2713560978653,13.7111659844463,1.28999997545519,6.0244753258313e-16,TRUE
151,"91",2015,59.4803,-49.4743,2610.581,0.96,26.8818109360012,11.778445293431,0.960000007712304,5.94796383978934e-17,TRUE
152,"91",2015,59.4803,-49.4743,2410.192,1.14,24.3500930249177,12.9176794972149,1.13999999907651,8.52840251727818e-19,TRUE
153,"91",2015,59.4803,-49.4743,2189.271,1.05,25.6133246945548,12.3785474672563,1.04999999937317,3.92909904524619e-19,TRUE
154,"91",2015,59.4803,-49.4743,1960.53,0.92,27.4457835673349,11.490290366701,0.920000000757537,5.73861683693968e-19,TRUE
155,"91",2015,59.4803,-49.4743,1728.798,1.11,24.7702415606604,12.7441665555616,1.10999999927648,5.23486523347275e-19,TRUE
156,"91",2015,59.4803,-49.4743,1501.699,1.33,21.7251765813468,13.9074396722289,1.32999999936743,4.00141991154878e-19,TRUE
157,"91",2015,59.4803,-49.4743,1281.262,1.4,20.7805849214546,14.2439632831626,1.39999999934676,4.2672788744695e-19,TRUE
158,"91",2015,59.4803,-49.4743,1071.433,2.13,16.0942548298205,16.0936176394682,1.7691592668407,0.130206034706942,FALSE
159,"91",2015,59.4803,-49.4743,868.239,1.87,14.3345964171985,14.334493740141,1.84719697307399,0.000519978036988398,FALSE
160,"91",2015,59.4803,-49.4743,680.904,2,14.4987846189695,14.4970966308443,1.83958326137335,0.0257335300316119,FALSE
161,"91",2015,59.4803,-49.4743,509.966,2.48,15.3747395487533,15.3747233785002,1.8002733947722,0.462028257854512,FALSE
162,"91",2015,59.4803,-49.4743,361.023,2.54,15.6331558062199,15.6330200828092,1.78897759242185,0.564034656684486,FALSE
163,"91",2015,59.4803,-49.4743,225.324,2.61,15.7192908441005,15.7185880471822,1.78522884803247,0.680247453117841,FALSE
164,"91",2015,59.4803,-49.4743,101.537,2.62,15.9505545539102,15.9498721132936,1.7752831966469,0.71354647786708,FALSE
165,"91",2015,59.4803,-49.4743,50.607,3.13,17.0190369150876,17.0186899586339,1.73072523197822,1.95796987642242,FALSE
166,"91",2015,59.4803,-49.4743,26.42,3.11,16.9968986336801,16.9962557104228,1.73161799117382,1.89993696225569,FALSE
167,"91",2015,59.4803,-49.4743,3.073,3.11,16.9968986336801,16.9962557104228,1.73161799117382,1.89993696225569,FALSE
168,"113",2015,60.57,-48.2295,124.238,2.93,16.696980879374,16.6747333083563,1.74331068414008,1.40823153237608,FALSE
169,"113",2015,60.57,-48.2295,100.449,3.16,17.0820128629494,17.0816671523335,1.7281671274054,2.05014537504249,FALSE
170,"113",2015,60.57,-48.2295,51.004,3.45,17.4960528082824,17.4943227134099,1.71149266546733,3.02240775222387,FALSE
171,"113",2015,60.57,-48.2295,20.393,3.79,17.8001532076424,17.7943373520921,1.69935856643292,4.37078160374743,FALSE
172,"113",2015,60.57,-48.2295,2.993,3.6,17.6522829742959,17.6415562771947,1.70504562095842,3.59085209864885,FALSE
173,"116",2015,60.4497,-48.362,145.249,2.81,16.198929474391,16.1983750068725,1.76472609345203,1.09259753971005,FALSE
174,"116",2015,60.4497,-48.362,101.761,3.3,17.3098120204786,17.3077530323281,1.71892745226181,2.49979040121133,FALSE
175,"116",2015,60.4497,-48.362,50.146,3.29,17.2185125722839,17.2143545915913,1.72254116862289,2.45692718806211,FALSE
176,"116",2015,60.4497,-48.362,20.779,3.3,17.3098120204786,17.3077530323281,1.71892745226181,2.49979040121133,FALSE
177,"116",2015,60.4497,-48.362,3.479,3.29,17.2185125722839,17.2143545915913,1.72254116862289,2.45692718806211,FALSE
178,"119",2015,60.3592,-48.4665,1035.865,2.3,14.5712152082454,14.5709347971246,1.83630354605518,0.215014401401003,FALSE
179,"119",2015,60.3592,-48.4665,900.139,2.29,14.5469005004429,14.5466788608582,1.83741816039553,0.204830321539765,FALSE
180,"119",2015,60.3592,-48.4665,751.436,2.49,15.3690488678137,15.3681406498218,1.80049856554048,0.475412228121735,FALSE
181,"119",2015,60.3592,-48.4665,598.995,2.48,15.3747395487533,15.3747233785002,1.8002733947722,0.462028257854512,FALSE
182,"119",2015,60.3592,-48.4665,468.991,2.49,15.3690488678137,15.3681406498218,1.80049856554048,0.475412228121735,FALSE
183,"119",2015,60.3592,-48.4665,350.434,2.65,15.8568315316764,15.8559565697313,1.77929537915809,0.758126536755452,FALSE
184,"119",2015,60.3592,-48.4665,250.263,2.74,16.2465951118196,16.2463234729586,1.76272151653352,0.955073234246534,FALSE
185,"119",2015,60.3592,-48.4665,152.281,2.95,16.7216977678597,16.7215047099694,1.74290889473222,1.45706893641658,FALSE
186,"119",2015,60.3592,-48.4665,100.276,3.09,17.017808959001,17.0140681685964,1.73068019487691,1.84775033259989,FALSE
187,"119",2015,60.3592,-48.4665,51.393,3.08,17.0002215295474,16.9976331792019,1.73142823307948,1.81864581053514,FALSE
188,"119",2015,60.3592,-48.4665,20.396,3.31,17.3240356160465,17.3223535712568,1.71836724098133,2.5332948395814,FALSE
189,"119",2015,60.3592,-48.4665,2.807,3.29,17.2185125722839,17.2143545915913,1.72254116862289,2.45692718806211,FALSE
190,"122",2015,60.2897,-48.5415,2772.9,1.65,16.9336824441864,14.0001722724241,1.64999999853737,2.13927227711012e-18,TRUE
191,"122",2015,60.2897,-48.5415,2680.655,1.36,21.3184055457278,14.0522247126887,1.35999999936395,4.04564815938421e-19,TRUE
192,"122",2015,60.2897,-48.5415,2550.04,1.33,21.7251765813468,13.9074396722289,1.32999999936743,4.00141991154878e-19,TRUE
193,"122",2015,60.2897,-48.5415,2390.879,1.4,20.7805849214546,14.2439632831626,1.39999999934676,4.2672788744695e-19,TRUE
194,"122",2015,60.2897,-48.5415,2269.158,1.32,21.8613345269232,13.8587787002775,1.31999999936784,3.99620218458497e-19,TRUE
195,"122",2015,60.2897,-48.5415,2128.973,1.32,21.8613345269232,13.8587787002775,1.31999999936784,3.99620218458497e-19,TRUE
196,"122",2015,60.2897,-48.5415,1971.378,1.25,22.8213664442148,13.509653656085,1.24999999085911,8.35557896253709e-17,TRUE
197,"122",2015,60.2897,-48.5415,1791.217,1.41,20.6470521869964,14.2919546796334,1.40999999933761,4.38755700482787e-19,TRUE
